Student ID,Question ID,topic,difficulty,correct,Response Time
AQklHbi5bt8l,1,,hard,0,27232
AQklHbi5bt8l,2,,easy,1,8933
AQklHbi5bt8l,3,,easy,1,14965
AQklHbi5bt8l,4,,easy,1,12691
AQklHbi5bt8l,5,,medium,0,26452
AQklHbi5bt8l,6,,easy,1,18691
AQklHbi5bt8l,7,,easy,1,17205
AQklHbi5bt8l,8,,easy,1,12691
AQklHbi5bt8l,9,,easy,1,15217
AQklHbi5bt8l,10,,easy,1,12691
AQklHbi5bt8l,11,,easy,1,12691
AQklHbi5bt8l,12,,easy,1,12691
AQklHbi5bt8l,13,,easy,1,14965
AQklHbi5bt8l,14,,medium,0,28292
AQklHbi5bt8l,15,,medium,0,28170
AQklHbi5bt8l,16,,easy,0,28502
AQklHbi5bt8l,17,,easy,0,23751
AQklHbi5bt8l,18,,hard,0,27363
AQklHbi5bt8l,19,,easy,1,14269
AQklHbi5bt8l,20,,hard,0,24479
AQklHbi5bt8l,21,,hard,0,24394
AQklHbi5bt8l,22,,easy,1,12691
AQklHbi5bt8l,23,,hard,0,25846
AQklHbi5bt8l,24,,hard,0,24855
AQklHbi5bt8l,25,,hard,0,27419
AQklHbi5bt8l,26,,hard,0,29211
AQklHbi5bt8l,27,,easy,1,17236
AQklHbi5bt8l,28,,medium,0,26213
AQklHbi5bt8l,29,,easy,1,12691
AQklHbi5bt8l,30,,easy,1,11189
1ggBjCxnkaT8,1,,hard,0,28232
1ggBjCxnkaT8,2,,easy,1,9274
1ggBjCxnkaT8,3,,easy,1,15769
1ggBjCxnkaT8,4,,easy,1,13046
1ggBjCxnkaT8,5,,medium,0,27423
1ggBjCxnkaT8,6,,easy,1,19403
1ggBjCxnkaT8,7,,easy,0,21703
1ggBjCxnkaT8,8,,easy,1,13046
1ggBjCxnkaT8,9,,easy,1,15796
1ggBjCxnkaT8,10,,easy,1,13046
1ggBjCxnkaT8,11,,easy,1,13046
1ggBjCxnkaT8,12,,easy,1,13046
1ggBjCxnkaT8,13,,easy,1,15769
1ggBjCxnkaT8,14,,medium,0,29331
1ggBjCxnkaT8,15,,medium,0,29205
1ggBjCxnkaT8,16,,easy,0,29548
1ggBjCxnkaT8,17,,easy,0,24623
1ggBjCxnkaT8,18,,hard,0,28368
1ggBjCxnkaT8,19,,easy,1,14813
1ggBjCxnkaT8,20,,hard,0,25378
1ggBjCxnkaT8,21,,hard,0,25290
1ggBjCxnkaT8,22,,easy,1,13046
1ggBjCxnkaT8,23,,hard,0,26796
1ggBjCxnkaT8,24,,hard,0,25768
1ggBjCxnkaT8,25,,hard,0,28425
1ggBjCxnkaT8,26,,hard,0,30284
1ggBjCxnkaT8,27,,easy,1,17892
1ggBjCxnkaT8,28,,medium,0,27175
1ggBjCxnkaT8,29,,easy,1,13046
1ggBjCxnkaT8,30,,easy,1,11615
VqXqgB6ructd,1,,hard,0,30533
VqXqgB6ructd,2,,easy,1,11094
VqXqgB6ructd,3,,easy,1,17117
VqXqgB6ructd,4,,easy,1,15659
VqXqgB6ructd,5,,medium,0,33065
VqXqgB6ructd,6,,easy,1,20195
VqXqgB6ructd,7,,easy,0,24396
VqXqgB6ructd,8,,easy,1,15659
VqXqgB6ructd,9,,easy,1,16613
VqXqgB6ructd,10,,easy,1,15659
VqXqgB6ructd,11,,easy,1,15659
VqXqgB6ructd,12,,easy,1,15659
VqXqgB6ructd,13,,easy,1,17117
VqXqgB6ructd,14,,medium,1,30463
VqXqgB6ructd,15,,medium,0,34713
VqXqgB6ructd,16,,easy,1,28512
VqXqgB6ructd,17,,easy,1,23169
VqXqgB6ructd,18,,hard,0,25873
VqXqgB6ructd,19,,easy,1,15909
VqXqgB6ructd,20,,hard,0,29881
VqXqgB6ructd,21,,hard,0,25431
VqXqgB6ructd,22,,easy,1,15659
VqXqgB6ructd,23,,hard,0,28731
VqXqgB6ructd,24,,hard,0,24810
VqXqgB6ructd,25,,hard,0,30742
VqXqgB6ructd,26,,hard,0,34560
VqXqgB6ructd,27,,easy,1,19714
VqXqgB6ructd,28,,medium,0,32248
VqXqgB6ructd,29,,easy,1,15659
VqXqgB6ructd,30,,easy,1,13999
W0EkQhrkI3an,1,,hard,0,22271
W0EkQhrkI3an,2,,easy,1,7500
W0EkQhrkI3an,3,,easy,1,12642
W0EkQhrkI3an,4,,easy,1,10621
W0EkQhrkI3an,5,,medium,1,19486
W0EkQhrkI3an,6,,easy,1,15826
W0EkQhrkI3an,7,,easy,1,14620
W0EkQhrkI3an,8,,easy,1,10621
W0EkQhrkI3an,9,,easy,1,12826
W0EkQhrkI3an,10,,easy,1,10621
W0EkQhrkI3an,11,,easy,1,10621
W0EkQhrkI3an,12,,easy,1,10621
W0EkQhrkI3an,13,,easy,1,12642
W0EkQhrkI3an,14,,medium,0,23138
W0EkQhrkI3an,15,,medium,0,23039
W0EkQhrkI3an,16,,easy,1,21767
W0EkQhrkI3an,17,,easy,0,20537
W0EkQhrkI3an,18,,hard,0,20653
W0EkQhrkI3an,19,,easy,1,11993
W0EkQhrkI3an,20,,hard,0,19480
W0EkQhrkI3an,21,,hard,0,19120
W0EkQhrkI3an,22,,easy,1,10621
W0EkQhrkI3an,23,,hard,0,20568
W0EkQhrkI3an,24,,hard,0,19188
W0EkQhrkI3an,25,,hard,0,21815
W0EkQhrkI3an,26,,hard,0,23245
W0EkQhrkI3an,27,,easy,1,14560
W0EkQhrkI3an,28,,medium,0,21465
