student_id,quiz_id,session_id,question_id,question_in_quiz,difficulty,topic,response_time,accuracy_so_far,number_of_questions_answered_so_far,accuracy_easy_so_far,accuracy_medium_so_far,accuracy_hard_so_far,average_response_time_so_far,last_1_correctness,last_2_correctness,last_3_correctness,correct,raw_row_index
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,1,1,hard,Misc / Tools,24498.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,780
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,2,2,easy,Misc / Tools,8227.0,0.0,1,0.0,0.0,0.0,24498.0,0,0,0,1,781
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,3,3,easy,Misc / Tools,16523.0,0.5,2,1.0,0.0,0.0,16362.5,1,0,0,0,782
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,4,4,easy,Misc / Tools,11553.0,0.3333333333333333,3,0.5,0.0,0.0,16416.0,0,1,0,1,783
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,5,5,medium,Misc / Tools,23674.0,0.5,4,0.6666666666666666,0.0,0.0,15200.25,1,0,1,0,784
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,6,6,easy,Misc / Tools,19502.0,0.4,5,0.6666666666666666,0.0,0.0,16895.0,0,1,0,0,785
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,7,7,easy,Data & Features,18246.0,0.3333333333333333,6,0.5,0.0,0.0,17329.5,0,0,1,0,786
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,8,8,easy,Data & Features,11553.0,0.2857142857142857,7,0.4,0.0,0.0,17460.428571428572,0,0,0,1,787
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,9,9,easy,Misc / Tools,14866.0,0.375,8,0.5,0.0,0.0,16722.0,1,0,0,1,788
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,10,10,easy,Misc / Tools,11553.0,0.4444444444444444,9,0.5714285714285714,0.0,0.0,16515.777777777777,1,1,0,1,789
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,11,11,easy,Misc / Tools,11553.0,0.5,10,0.625,0.0,0.0,16019.5,1,1,1,1,790
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,12,12,easy,Misc / Tools,11553.0,0.5454545454545454,11,0.6666666666666666,0.0,0.0,15613.454545454546,1,1,1,1,791
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,13,13,easy,Misc / Tools,14913.0,0.5833333333333334,12,0.7,0.0,0.0,15275.083333333334,1,1,1,1,792
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,14,14,medium,Data & Features,25959.0,0.6153846153846154,13,0.7272727272727273,0.0,0.0,15247.23076923077,1,1,1,1,793
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,15,15,medium,Data & Features,24979.0,0.6428571428571429,14,0.7272727272727273,0.5,0.0,16012.357142857143,1,1,1,0,794
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,16,16,easy,Data & Features,26223.0,0.6,15,0.7272727272727273,0.3333333333333333,0.0,16610.133333333335,0,1,1,0,795
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,17,17,easy,Data & Features,20772.0,0.5625,16,0.6666666666666666,0.3333333333333333,0.0,17210.9375,0,0,1,1,796
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,18,18,hard,Clustering & Unsupervised,20312.0,0.5882352941176471,17,0.6923076923076923,0.3333333333333333,0.0,17420.41176470588,1,0,0,0,797
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,19,19,easy,Clustering & Unsupervised,15255.0,0.5555555555555556,18,0.6923076923076923,0.3333333333333333,0.0,17581.055555555555,0,1,0,0,798
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,20,20,hard,Data & Features,20875.0,0.5263157894736842,19,0.6428571428571429,0.3333333333333333,0.0,17458.63157894737,0,0,1,0,799
