student_id,quiz_id,session_id,question_id,question_in_quiz,response_time,accuracy_so_far,number_of_questions_answered_so_far,accuracy_easy_so_far,accuracy_medium_so_far,accuracy_hard_so_far,average_response_time_so_far,last_1_correctness,last_2_correctness,last_3_correctness,correct
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,1,1,24498.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,2,2,8227.0,0.0,1,0.0,0.0,0.0,24498.0,0,0,0,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,3,3,16523.0,0.5,2,1.0,0.0,0.0,16362.5,1,0,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,4,4,11553.0,0.3333333333333333,3,0.5,0.0,0.0,16416.0,0,1,0,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,5,5,23674.0,0.5,4,0.6666666666666666,0.0,0.0,15200.25,1,0,1,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,6,6,19502.0,0.4,5,0.6666666666666666,0.0,0.0,16895.0,0,1,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,7,7,18246.0,0.3333333333333333,6,0.5,0.0,0.0,17329.5,0,0,1,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,8,8,11553.0,0.2857142857142857,7,0.4,0.0,0.0,17460.428571428572,0,0,0,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,9,9,14866.0,0.375,8,0.5,0.0,0.0,16722.0,1,0,0,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,10,10,11553.0,0.4444444444444444,9,0.5714285714285714,0.0,0.0,16515.777777777777,1,1,0,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,11,11,11553.0,0.5,10,0.625,0.0,0.0,16019.5,1,1,1,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,12,12,11553.0,0.5454545454545454,11,0.6666666666666666,0.0,0.0,15613.454545454546,1,1,1,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,13,13,14913.0,0.5833333333333334,12,0.7,0.0,0.0,15275.083333333334,1,1,1,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,14,14,25959.0,0.6153846153846154,13,0.7272727272727273,0.0,0.0,15247.23076923077,1,1,1,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,15,15,24979.0,0.6428571428571429,14,0.7272727272727273,0.5,0.0,16012.357142857143,1,1,1,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,16,16,26223.0,0.6,15,0.7272727272727273,0.3333333333333333,0.0,16610.133333333335,0,1,1,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,17,17,20772.0,0.5625,16,0.6666666666666666,0.3333333333333333,0.0,17210.9375,0,0,1,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,18,18,20312.0,0.5882352941176471,17,0.6923076923076923,0.3333333333333333,0.0,17420.41176470588,1,0,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,19,19,15255.0,0.5555555555555556,18,0.6923076923076923,0.3333333333333333,0.0,17581.055555555555,0,1,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,20,20,20875.0,0.5263157894736842,19,0.6428571428571429,0.3333333333333333,0.0,17458.63157894737,0,0,1,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,21,21,19099.0,0.5,20,0.6428571428571429,0.3333333333333333,0.0,17629.45,0,0,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,22,22,11553.0,0.4761904761904761,21,0.6428571428571429,0.3333333333333333,0.0,17699.428571428572,0,0,0,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,23,23,22835.0,0.5,22,0.6666666666666666,0.3333333333333333,0.0,17420.045454545456,1,0,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,24,24,18166.0,0.4782608695652174,23,0.6666666666666666,0.3333333333333333,0.0,17655.478260869564,0,1,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,25,25,24666.0,0.4583333333333333,24,0.6666666666666666,0.3333333333333333,0.0,17676.75,0,0,1,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,26,26,26279.0,0.44,25,0.6666666666666666,0.3333333333333333,0.0,17956.32,0,0,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,27,27,18185.0,0.4230769230769231,26,0.6666666666666666,0.3333333333333333,0.0,18276.42307692308,0,0,0,0
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,28,28,22521.0,0.4074074074074074,27,0.625,0.3333333333333333,0.0,18273.03703703704,0,0,0,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,29,29,11553.0,0.4285714285714285,28,0.625,0.5,0.0,18424.75,1,0,0,1
0Hpj01paAdfZ,1,0Hpj01paAdfZ_quiz_1,30,30,9762.0,0.4482758620689655,29,0.6470588235294118,0.5,0.0,18187.793103448275,1,1,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,31,1,24111.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,32,2,29072.0,1.0,1,0.0,1.0,0.0,24111.0,1,0,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,33,3,14173.0,1.0,2,0.0,1.0,0.0,26591.5,1,1,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,34,4,14234.0,1.0,3,1.0,1.0,0.0,22452.0,1,1,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,35,5,14234.0,1.0,4,1.0,1.0,0.0,20397.5,1,1,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,36,6,23230.0,1.0,5,1.0,1.0,0.0,19164.8,1,1,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,37,7,22110.0,1.0,6,1.0,1.0,0.0,19842.33333333333,1,1,1,0
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,38,8,26395.0,0.8571428571428571,7,0.75,1.0,0.0,20166.28571428572,0,1,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,39,9,14338.0,0.875,8,0.75,1.0,1.0,20944.875,1,0,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,40,10,9762.0,0.8888888888888888,9,0.8,1.0,1.0,20210.777777777777,1,1,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,41,11,22744.0,0.9,10,0.8333333333333334,1.0,1.0,19165.9,1,1,1,0
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,42,12,8227.0,0.8181818181818182,11,0.7142857142857143,1.0,1.0,19491.18181818182,0,1,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,43,13,25193.0,0.8333333333333334,12,0.75,1.0,1.0,18552.5,1,0,1,0
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,44,14,20828.0,0.7692307692307693,13,0.75,0.75,1.0,19063.30769230769,0,1,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,45,15,19099.0,0.7857142857142857,14,0.7777777777777778,0.75,1.0,19189.35714285714,1,0,1,0
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,46,16,14338.0,0.7333333333333333,15,0.7777777777777778,0.75,0.5,19183.33333333333,0,1,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,47,17,19679.0,0.75,16,0.8,0.75,0.5,18880.5,1,0,1,0
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,48,18,20130.0,0.7058823529411765,17,0.8,0.75,0.3333333333333333,18927.470588235294,0,1,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,49,19,19099.0,0.7222222222222222,18,0.8181818181818182,0.75,0.3333333333333333,18994.277777777777,1,0,1,0
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,50,20,16554.0,0.6842105263157895,19,0.8181818181818182,0.75,0.25,18999.78947368421,0,1,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,51,21,16554.0,0.7,20,0.8333333333333334,0.75,0.25,18877.5,1,0,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,52,22,15032.0,0.7142857142857143,21,0.8461538461538461,0.75,0.25,18766.85714285714,1,1,0,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,53,23,11119.0,0.7272727272727273,22,0.8571428571428571,0.75,0.25,18597.090909090908,1,1,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,54,24,16039.0,0.7391304347826086,23,0.8666666666666667,0.75,0.25,18271.95652173913,1,1,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,55,25,11316.0,0.75,24,0.875,0.75,0.25,18178.916666666668,1,1,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,56,26,19099.0,0.76,25,0.8823529411764706,0.75,0.25,17904.4,1,1,1,0
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,57,27,8227.0,0.7307692307692307,26,0.8823529411764706,0.75,0.2,17950.346153846152,0,1,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,58,28,17146.0,0.7407407407407407,27,0.8888888888888888,0.75,0.2,17590.222222222223,1,0,1,1
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,59,29,14646.0,0.75,28,0.8947368421052632,0.75,0.2,17574.35714285714,1,1,0,0
0Hpj01paAdfZ,2,0Hpj01paAdfZ_quiz_2,60,30,16039.0,0.7241379310344828,29,0.85,0.75,0.2,17473.379310344826,0,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,91,1,16554.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,92,2,11553.0,1.0,1,1.0,0.0,0.0,16554.0,1,0,0,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,93,3,11553.0,1.0,2,1.0,0.0,0.0,14053.5,1,1,0,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,94,4,11553.0,1.0,3,1.0,0.0,0.0,13220.0,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,95,5,14234.0,1.0,4,1.0,0.0,0.0,12803.25,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,96,6,11208.0,1.0,5,1.0,0.0,0.0,13089.4,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,97,7,14458.0,1.0,6,1.0,0.0,0.0,12775.833333333334,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,98,8,11208.0,1.0,7,1.0,0.0,0.0,13016.142857142857,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,99,9,11208.0,1.0,8,1.0,0.0,0.0,12790.125,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,100,10,11846.0,1.0,9,1.0,0.0,0.0,12614.333333333334,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,101,11,11208.0,1.0,10,1.0,0.0,0.0,12537.5,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,102,12,15610.0,1.0,11,1.0,0.0,0.0,12416.636363636364,1,1,1,0
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,103,13,19192.0,0.9166666666666666,12,0.9166666666666666,0.0,0.0,12682.75,0,1,1,0
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,104,14,11846.0,0.8461538461538461,13,0.9166666666666666,0.0,0.0,13183.46153846154,0,0,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,105,15,15426.0,0.8571428571428571,14,0.9230769230769232,0.0,0.0,13087.92857142857,1,0,0,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,106,16,11119.0,0.8666666666666667,15,0.9285714285714286,0.0,0.0,13243.8,1,1,0,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,107,17,27821.0,0.875,16,0.9333333333333332,0.0,0.0,13111.0,1,1,1,0
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,108,18,23547.0,0.8235294117647058,17,0.9333333333333332,0.0,0.0,13976.29411764706,0,1,1,0
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,109,19,24999.0,0.7777777777777778,18,0.9333333333333332,0.0,0.0,14508.0,0,0,1,0
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,110,20,14338.0,0.7368421052631579,19,0.9333333333333332,0.0,0.0,15060.157894736842,0,0,0,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,111,21,25736.0,0.75,20,0.9375,0.0,0.0,15024.05,1,0,0,0
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,112,22,26223.0,0.7142857142857143,21,0.9375,0.0,0.0,15534.142857142857,0,1,0,0
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,113,23,16554.0,0.6818181818181818,22,0.8823529411764706,0.0,0.0,16020.0,0,0,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,114,24,22272.0,0.6956521739130435,23,0.8888888888888888,0.0,0.0,16043.217391304348,1,0,0,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,115,25,14338.0,0.7083333333333334,24,0.8947368421052632,0.0,0.0,16302.75,1,1,0,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,116,26,16893.0,0.72,25,0.9,0.0,0.0,16224.16,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,117,27,11208.0,0.7307692307692307,26,0.9047619047619048,0.0,0.0,16249.884615384615,1,1,1,1
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,118,28,19962.0,0.7407407407407407,27,0.9090909090909092,0.0,0.0,16063.148148148148,1,1,1,0
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,119,29,24498.0,0.7142857142857143,28,0.9090909090909092,0.0,0.0,16202.392857142857,0,1,1,0
0Hpj01paAdfZ,4,0Hpj01paAdfZ_quiz_4,120,30,14458.0,0.6896551724137931,29,0.9090909090909092,0.0,0.0,16488.44827586207,0,0,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,121,1,11553.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,122,2,29253.0,1.0,1,1.0,0.0,0.0,11553.0,1,0,0,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,123,3,13482.0,1.0,2,1.0,0.0,1.0,20403.0,1,1,0,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,124,4,13170.0,1.0,3,1.0,0.0,1.0,18096.0,1,1,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,125,5,11553.0,1.0,4,1.0,0.0,1.0,16864.5,1,1,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,126,6,17712.0,1.0,5,1.0,0.0,1.0,15802.2,1,1,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,127,7,27483.0,1.0,6,1.0,0.0,1.0,16120.5,1,1,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,128,8,19905.0,1.0,7,1.0,1.0,1.0,17743.714285714286,1,1,1,0
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,129,9,13482.0,0.875,8,0.8333333333333334,1.0,1.0,18013.875,0,1,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,130,10,9762.0,0.8888888888888888,9,0.8571428571428571,1.0,1.0,17510.333333333332,1,0,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,131,11,11208.0,0.9,10,0.875,1.0,1.0,16735.5,1,1,0,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,132,12,20130.0,0.9090909090909092,11,0.8888888888888888,1.0,1.0,16233.0,1,1,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,133,13,20353.0,0.9166666666666666,12,0.9,1.0,1.0,16557.75,1,1,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,134,14,25516.0,0.9230769230769232,13,0.9090909090909092,1.0,1.0,16849.69230769231,1,1,1,1
0Hpj01paAdfZ,5,0Hpj01paAdfZ_quiz_5,135,15,9762.0,0.9285714285714286,14,0.9090909090909092,1.0,1.0,17468.714285714286,1,1,1,1
