Question ID,question_text,options,correct_answer
61,What is the impact of outliers on K-means clustering?,A. Outliers have no impact on K-means. | B. Outliers can significantly influence the position of centroids. | C. K-means automatically identifies and excludes outliers. | D. Outliers are treated as separate clusters.,Outliers can significantly influence the position of centroids.
62,How does the choice of the number of clusters (K) affect the performance of K-means?,A. It has no impact on the performance. | B. An inappropriate choice can lead to poor clustering results. | C. K-means automatically determines the optimal number of clusters. | D. An inappropriate choice may label some data points as outliers.,An inappropriate choice can lead to poor clustering results.
63,"In agglomerative hierarchical clustering, what does the term ""linkage"" refer to?",A. The connectivity between data points. | B. The order in which clusters are merged. | C. The distance measure between clusters. | D. The density of clusters.,The distance measure between clusters.
64,What is the primary goal of unsupervised learning?,A. Minimize prediction errors. | B. Predict target labels for new data points. | C. Discover patterns and relationships within data. | D. Classify data points into predefined categories.,Discover patterns and relationships within data.
65,What is the primary challenge in evaluating the performance of unsupervised learning algorithms?,A. Lack of labeled data for comparison. | B. Overfitting to the training dataset. | C. Difficulty in handling outliers. | D. Inability to handle non-linear relationships.,Lack of labeled data for comparison.
66,How does DBSCAN handle outliers?,A. Assigns them to the nearest cluster | B. Labels them as noise/outliers | C. Includes them in all clusters | D. Computes a separate cluster for outliers,Labels them as noise/outliers
67,"What does the ""dendrogram"" represent in hierarchical clustering?",A. Cluster centroids | B. Cluster assignments | C. Cluster density | D. None of the above,Cluster assignments
68,"In hierarchical clustering, what is the role of the ""cut-off"" in dendrogram visualization?",A. Define the number of clusters | B. Determine the linkage method | C. Set the convergence threshold | D. Control the learning rate,Define the number of clusters
69,Which criterion is commonly used to determine the optimal number of clusters in K-means?,A. Silhouette coefficient | B. Entropy | C. Precision | D. F1-score,Silhouette coefficient
70,"In K-means clustering, how do you determine the optimal number of clusters?",A. Use a scree plot to identify the elbow point | B. Use a random number generator to pick the number of clusters | C. Use a dendrogram to visualize the hierarchical structure of the data | D. Use a confusion matrix to assess the accuracy of the clustering,Use a scree plot to identify the elbow point
71,What is the purpose of a dendrogram in hierarchical clustering?,A. To show the relationship between the clusters | B. To identify the optimal number of clusters | C. To determine the direction of the clusters | D. To assess the quality of the clusters,To show the relationship between the clusters
72,Hierarchical clustering is a deterministic algorithm. What does this mean?,"A. The results of the algorithm will always be the same, regardless of the input data | B. The results of the algorithm will be different, depending on the order in which the data is processe | C. The results of the algorithm will be different, depending on the choice of linkage metho | D. The results of the algorithm will be different, depending on the initialization of the clusters.","The results of the algorithm will always be the same, regardless of the input data"
73,Why is cluster evaluation important?,A. To ensure that the clustering results are accurate and reliable | B. To check non-randomness in the data | C. To select the best clustering algorithm for a particular task | D. All of the above,All of the above
74,"In clustering evaluation, what does entropy measure?",A. The homogeneity of the clusters in terms of class labels | B. The fraction of correct assignments | C. How compact clusters are | D. Distance between centroids,The homogeneity of the clusters in terms of class labels
