Question ID,question_text,options,correct_answer
91,What is the main purpose of cross-validation in classification?,A. Feature selection | B. Model evaluation | C. Hyperparameter tuning | D. All of the above,Model evaluation
92,"What does the term ""overfitting"" refer to in the context of classification models?",A. The model performs well on training data but poorly on unseen data | B. The model performs poorly on both training and unseen data | C. The model is perfectly generalized to any data | D. The model has too many parameters,The model performs well on training data but poorly on unseen data
93,"What does the term ""false positive"" represent in a confusion matrix?",A. Instances correctly identified as positive | B. Instances incorrectly identified as positive | C. Instances correctly identified as negative | D. Instances incorrectly identified as negative,Instances incorrectly identified as positive
94,What is the purpose of pruning in decision trees?,A. Increase model complexity | B. Reduce overfitting | C. Reduce the number of parameters | D. Reduce model interpretability,Reduce overfitting
95,What is the disadvantage of decision trees?,A. Prone to overfitting | B. Not robust to outliers | C. Sensitive to feature scaling | D. Suitable for linear relationships only,Prone to overfitting
96,Decision tree learners may create biased trees if some classes dominate. What’s the solution of it?,A. Balance the dataset prior to fitting | B. Imbalance the dataset prior to fitting | C. Balance the dataset after fitting | D. None of the above,Balance the dataset prior to fitting
97,Which of the following is a disadvantage of leave-one-out cross-validation (LOOCV)?,A. High computational cost | B. Overestimation of model performance | C. Limited model generalization | D. Biased toward larger datasets,High computational cost
98,What is the advantage of using cross-validation over a single train-test split?,A. It guarantees a larger training set | B. It provides multiple evaluations and provides a robust estimation | C. It speeds up the training process | D. It simplifies the model evaluation process,It provides multiple evaluations and provides a robust estimation
99,"What does the term ""stratified cross-validation"" refer to?",A. Ensuring an equal distribution of target classes in each fold | B. Prioritizing one class over others during validation | C. Excluding certain features from the validation set | D. Randomly shuffling the data before splitting,Ensuring an equal distribution of target classes in each fold
100,Which of the following is a method to handle imbalanced class distribution in decision trees?,A. Feature scaling | B. Stratified sampling | C. Random shuffling | D. Increasing the tree depth,Stratified sampling
101,Which of the following is a hyperparameter of Decision Trees:,A. Tree depth | B. Minimum number of samples in leafs | C. Minimum number of samples to split nodes | D. All of the above,All of the above
102,Which of the following methods can help to fine-tune tree depth in Decision Trees:,A. Trial and error | B. Random search | C. Learning curve | D. All of the above,All of the above
103,Which of the following metrics can be used with a dataset having unbalanced classes:,A. Accuracy | B. F-Score | C. Precision | D. All of the above,F-Score
104,How can you detect underfitting from a learning curve?,"A. Bad results in train, but good results in test | B. Good results in train, but bad results in test | C. Bad results in both train and test | D. None of the above",Bad results in both train and test
105,Which of the following can be a reason for overfitting:,A. Insufficient training data | B. Excessive model complexity | C. Too many training iterations | D. All of the above,All of the above
106,Which of the following can be a reason for underfitting:,A. Insufficient model complexity | B. Excessive training data | C. Too many training epochs | D. All of the above,Insufficient model complexity
107,Which of the following is true about non-parametric models as compared to parametric models:,A. They don't make prior assumptions on data's probability distribution | B. They are often more flexible and achieve better accuracy | C. They require more training data | D. All of the above,All of the above
108,How can we handle the problem of underfitting in decision trees:,A. Increase the size of the tree | B. Add more attributes | C. Increase the size of the data | D. All of the above,All of the above
109,Which of the following evaluation methods is not appropriate if the size of the data is small?,A. Holdout Method | B. Cross-validation | C. Leave-One-Out Approach | D. All of the above,Holdout Method
110,What is a decision boundary in the context of decision trees?,A. Rectilinears that separate different classes in the feature space | B. The point at which a decision tree splits the data | C. A measure of the complexity of a decision tree | D. All of the above,Rectilinears that separate different classes in the feature space
111,The highest possible value of the Gini index for a set containing n different types of objects is:,A. 0 | B. 1 | C. log(n) | D. None of the above,None of the above
112,The highest possible value of the miss classification error rate for a set containing n different types of objects is:,A. 0 | B. 1 | C. (n-1)/n | D. None of the above,(n-1)/n
113,"If we use both Information gain and Gini gain to select the best split in a continuous variable, then:","A. We may find the same split position, as both measures (Gini and entropy) are consistent. | B. We might find different split positions even though the measures (Gini and entropy) are consistent. | C. We cannot find the same split positions, as the measures (Gini and entropy) used are inconsistent. | D. We may find different split positions because the measures (Gini and entropy) used are inconsistent.",We might find different split positions even though the measures (Gini and entropy) are consistent.
114,Which scenario allows a decision tree to split all training data into pure leaves?,"A. When some samples have identical attributes but belong to different classes. | B. Splitting into pure leaves is not possible. | C. If two examples belong to different classes, they must have at least one differing attribute.","If two examples belong to different classes, they must have at least one differing attribute."
115,How does a decision tree classify an example after training if it encounters a new attribute value that was not considered in a splitting condition?,"A. The example is not classified. | B. The most frequent class at the current node is assigned to the example | C. A random value from the supported attribute values is chosen, and the classification process continues. | D. None of the above",The most frequent class at the current node is assigned to the example
116,How does a decision tree manage an example with a missing value in a splitting condition during the testing phase?,"A. The most common branch is chosen for the missing value. | B. The example is not classified. | C. A random value from the supported attribute values is chosen, and the classification process continues. | D. None of the above",The most common branch is chosen for the missing value.
117,How can overfitting be addressed in decision trees?,A. Use of post-pruning. | B. Use of pre-pruning. | C. Using as voting among multiple decision trees. | D. All of the above.,All of the above.
118,"To set a baseline for determining if a classifier is acceptable, which of the following could be utilized?",A. The number of training examples in the minority class divided by the total number of training examples. | B. The inverse of the number of classes (1 divided by the number of classes) | C. The number of training examples in the majority class divided by the total number of training examples | D. None of the above,The number of training examples in the majority class divided by the total number of training examples
119,Why does a decision tree struggle with oblique splits?,A. Oblique splits are nonlinear. | B. It results from underfitting. | C. Only a single attribute is evaluated in each split condition. | D. All of the above.,Only a single attribute is evaluated in each split condition.
120,"When providing a probability estimate for an example's classification using a decision tree, which method would be used?","A. The probability is estimated based on the class frequencies in the leaf node where the example is classified. | B. The probability is considered 1, as the path to this node indicates certainty in the majority class occurrence. | C. The probability is derived using the entropy at the leaf node where the classification occurs. | D. None of the above",The probability is estimated based on the class frequencies in the leaf node where the example is classified.
