Student ID,Question ID,difficulty,correct,Response Time,topic
AQklHbi5bt8l,1,hard,0,27232,Misc / Tools
AQklHbi5bt8l,2,easy,1,8933,Misc / Tools
AQklHbi5bt8l,3,easy,1,14965,Misc / Tools
AQklHbi5bt8l,4,easy,1,12691,Misc / Tools
AQklHbi5bt8l,5,medium,0,26452,Misc / Tools
AQklHbi5bt8l,6,easy,1,18691,Misc / Tools
AQklHbi5bt8l,7,easy,1,17205,Data & Features
AQklHbi5bt8l,8,easy,1,12691,Data & Features
AQklHbi5bt8l,9,easy,1,15217,Misc / Tools
AQklHbi5bt8l,10,easy,1,12691,Misc / Tools
AQklHbi5bt8l,11,easy,1,12691,Misc / Tools
AQklHbi5bt8l,12,easy,1,12691,Misc / Tools
AQklHbi5bt8l,13,easy,1,14965,Misc / Tools
AQklHbi5bt8l,14,medium,0,28292,Data & Features
AQklHbi5bt8l,15,medium,0,28170,Data & Features
AQklHbi5bt8l,16,easy,0,28502,Data & Features
AQklHbi5bt8l,17,easy,0,23751,Data & Features
AQklHbi5bt8l,18,hard,0,27363,Clustering & Unsupervised
AQklHbi5bt8l,19,easy,1,14269,Clustering & Unsupervised
AQklHbi5bt8l,20,hard,0,24479,Data & Features
AQklHbi5bt8l,21,hard,0,24394,Misc / Tools
AQklHbi5bt8l,22,easy,1,12691,Data & Features
AQklHbi5bt8l,23,hard,0,25846,Clustering & Unsupervised
AQklHbi5bt8l,24,hard,0,24855,Data & Features
AQklHbi5bt8l,25,hard,0,27419,Clustering & Unsupervised
AQklHbi5bt8l,26,hard,0,29211,Data & Features
AQklHbi5bt8l,27,easy,1,17236,Data & Features
AQklHbi5bt8l,28,medium,0,26213,Data & Features
AQklHbi5bt8l,29,easy,1,12691,Data & Features
AQklHbi5bt8l,30,easy,1,11189,Data & Features
1ggBjCxnkaT8,1,hard,0,28232,Misc / Tools
1ggBjCxnkaT8,2,easy,1,9274,Misc / Tools
1ggBjCxnkaT8,3,easy,1,15769,Misc / Tools
1ggBjCxnkaT8,4,easy,1,13046,Misc / Tools
1ggBjCxnkaT8,5,medium,0,27423,Misc / Tools
1ggBjCxnkaT8,6,easy,1,19403,Misc / Tools
