Question ID,question_text,options,correct_answer
31,What is the primary goal of dimensionality reduction techniques in data mining?,A. To increase the number of features. | B. To improve model performance. | C. To add noise to the data. | D. To create complex models. | E. To reduce model complexity.,To improve model performance. | To reduce model complexity.
32,Feature selection aims to:,A. Create new features from the existing ones | B. Reduce the number of irrelevant or redundant features | C. Increase the complexity of the model | D. Enhance the interpretability of the model | E. Introduce noise to the data,Reduce the number of irrelevant or redundant features | Enhance the interpretability of the model
33,Which of the following is an example of a feature extraction technique?,A. Recursive Feature Elimination (RFE). | B. Principal Component Analysis (PCA). | C. Information Gain. | D. Forward Selection. | E. Decision Trees.,Principal Component Analysis (PCA).
34,"In PCA, what is the primary goal of orthogonal transformation?",A. To increase the number of features. | B. To create correlated features. | C. To reduce the number of features. | D. To amplify noise in the data. | E. To make the data non-linear.,To reduce the number of features.
35,How are principal components in PCA ordered in terms of importance?,A. Randomly. | B. By their magnitude of eigenvalues. | C. Alphabetically. | D. By their position in the original dataset. | E. By their correlation with the target variable.,By their magnitude of eigenvalues.
36,Which of the following is an advantage of PCA?,A. It guarantees that no information is lost during dimensionality reduction. | B. It helps to interpret the meaning of the original features. | C. It is not affected by multicollinearity in the data. | D. It can be applied to high-dimensional data efficiently. | E. It is only applicable to categorical data.,It can be applied to high-dimensional data efficiently.
37,Feature extraction differs from feature selection in that it:,"A. Create new features to the dataset. | B. Only selects the most important features, without creating new ones. | C. Reduces the number of observations in the dataset. | D. Randomly shuffles the order of the features. | E. Converts categorical variables into numerical ones.",Create new features to the dataset.
38,"In PCA, what is the role of eigenvalues and eigenvectors in the dimensionality reduction process?",A. Determine the direction of the principal components. | B. Used to scale the original features. | C. Used to sort the data. | D. Used to identify the principal components. | E. Represent the number of samples in the dataset.,Used to identify the principal components.
39,"In PCA, what are the principal components?",A. Original features of the dataset. | B. The features selected through feature selection. | C. Linear combinations of the original features. | D. The most important data points.,Linear combinations of the original features.
40,Which principal component explains the most variance in the data?,A. The first principal component. | B. The last principal component. | C. It depends on the dataset. | D. All principal components explain the same variance.,The first principal component.
41,"In PCA, how is the number of retained principal components is determined?",A. By choosing a fixed number. | B. By selecting all the components. | C. Based on cumulative explained variance. | D. Chosen randomly.,Based on cumulative explained variance.
42,What is the relationship between the first principal component (PC1) and the second principal component (PC2)?,A. PC1 and PC2 are always orthogonal to each other. | B. PC1 is a linear combination of PC2. | C. PC2 is a scaled version of PC1. | D. PC1 and PC2 have opposite directions.,PC1 and PC2 are always orthogonal to each other.
43,"When performing PCA, what is the role of the covariance matrix of the original features?",A. It's used to calculate the eigenvalues. | B. It's transformed into a correlation matrix. | C. It's not used in PCA. | D. It's used to calculate the principal components.,It's used to calculate the eigenvalues. | It's used to calculate the principal components.
44,What is the main drawback of using PCA for dimensionality reduction?,A. It can lead to overfitting. | B. It may not preserve the interpretability of the original features. | C. It can be sensitive to outliers in the data. | D. It is computationally expensive.,It may not preserve the interpretability of the original features.
45,"When we apply the SVD decomposition directly on the centered data matrix X, we obtain:","A. The same eigenvectors and eigenvalues of the covariance matrix. | B. The same eigenvectors, but different eigenvalues of the covariance matrix. | C. Different eigenvectors and the same eigenvalues of the covariance matrix. | D. Different eigenvectors and different eigenvalues of the covariance matrix.","The same eigenvectors, but different eigenvalues of the covariance matrix."
46,"When a scaled data is uniformly distributed within a sphere centered at the origin, the eigenvalues of the PCs are:",A. Equal for all principal components (All Equal). | B. Varied (Different). | C. All equal to zero (All equal to Zero).,Equal for all principal components (All Equal).
47,"The information gain of a categorical variable with itself IG(x,x) is equal to:",A. Entropy(x) | B. 0 | C. 1 | D. 0.5,Entropy(x)
48,The maximum value of entropy for a categorical variable with n categories is:,A. 1 | B. n | C. log2(n) | D. 1/(n-1),log2(n)
49,How many trained models are required to select the initial attribute in forward selection when there are 100 original attributes?,A. 1 | B. 50 | C. 100 | D. 1000,100
50,What feature selection technique is capable of identifying intricate relationships and interactions among features when employed as predictors?,A. Wrapper methods. | B. Filter methods. | C. Unsupervised feature selection.,Wrapper methods.
51,What feature selection method would be most suitable for a high-dimensional dataset with millions of features?,A. Wrapper method. | B. Filter method. | C. Backward elimination.,Filter method.
