Student ID,Question ID,difficulty,correct,Response Time,topic
AQklHbi5bt8l,1,hard,0,27232,Data Mining Tasks
AQklHbi5bt8l,2,easy,1,8933,Similarity Measures
AQklHbi5bt8l,3,easy,1,14965,Similarity Measures
AQklHbi5bt8l,4,easy,1,12691,Similarity Measures
AQklHbi5bt8l,5,medium,0,26452,Similarity Measures
AQklHbi5bt8l,6,easy,1,18691,Time Series Data
AQklHbi5bt8l,7,easy,1,17205,Data Types
AQklHbi5bt8l,8,easy,1,12691,Data Types
AQklHbi5bt8l,9,easy,1,15217,Similarity Measures
AQklHbi5bt8l,10,easy,1,12691,Programming Tools (NumPy/Pandas)
AQklHbi5bt8l,11,easy,1,12691,Programming Tools (NumPy/Pandas)
AQklHbi5bt8l,12,easy,1,12691,Programming Tools (NumPy/Pandas)
AQklHbi5bt8l,13,easy,1,14965,Programming Tools (NumPy/Pandas)
AQklHbi5bt8l,14,medium,0,28292,Data Types
AQklHbi5bt8l,15,medium,0,28170,Data Types
AQklHbi5bt8l,16,easy,0,28502,Data Types
AQklHbi5bt8l,17,easy,0,23751,Data Types
AQklHbi5bt8l,18,hard,0,27363,Unsupervised Learning
AQklHbi5bt8l,19,easy,1,14269,Unsupervised Learning
AQklHbi5bt8l,20,hard,0,24479,Data Types
AQklHbi5bt8l,21,hard,0,24394,Data Mining Tasks
AQklHbi5bt8l,22,easy,1,12691,Data Types
AQklHbi5bt8l,23,hard,0,25846,Unsupervised Learning
AQklHbi5bt8l,24,hard,0,24855,Data Types
AQklHbi5bt8l,25,hard,0,27419,Unsupervised Learning
AQklHbi5bt8l,26,hard,0,29211,Data Types
AQklHbi5bt8l,27,easy,1,17236,Data Preprocessing
AQklHbi5bt8l,28,medium,0,26213,Scaling & Normalization
AQklHbi5bt8l,29,easy,1,12691,Scaling & Normalization
AQklHbi5bt8l,30,easy,1,11189,Data Preprocessing
1ggBjCxnkaT8,1,hard,0,28232,Data Mining Tasks
1ggBjCxnkaT8,2,easy,1,9274,Similarity Measures
1ggBjCxnkaT8,3,easy,1,15769,Similarity Measures
1ggBjCxnkaT8,4,easy,1,13046,Similarity Measures
1ggBjCxnkaT8,5,medium,0,27423,Similarity Measures
1ggBjCxnkaT8,6,easy,1,19403,Time Series Data
1ggBjCxnkaT8,7,easy,0,21703,Data Types
1ggBjCxnkaT8,8,easy,1,13046,Data Types
1ggBjCxnkaT8,9,easy,1,15796,Similarity Measures
1ggBjCxnkaT8,10,easy,1,13046,Programming Tools (NumPy/Pandas)
1ggBjCxnkaT8,11,easy,1,13046,Programming Tools (NumPy/Pandas)
1ggBjCxnkaT8,12,easy,1,13046,Programming Tools (NumPy/Pandas)
1ggBjCxnkaT8,13,easy,1,15769,Programming Tools (NumPy/Pandas)
1ggBjCxnkaT8,14,medium,0,29331,Data Types
1ggBjCxnkaT8,15,medium,0,29205,Data Types
1ggBjCxnkaT8,16,easy,0,29548,Data Types
1ggBjCxnkaT8,17,easy,0,24623,Data Types
1ggBjCxnkaT8,18,hard,0,28368,Unsupervised Learning
1ggBjCxnkaT8,19,easy,1,14813,Unsupervised Learning
1ggBjCxnkaT8,20,hard,0,25378,Data Types
1ggBjCxnkaT8,21,hard,0,25290,Data Mining Tasks
1ggBjCxnkaT8,22,easy,1,13046,Data Types
1ggBjCxnkaT8,23,hard,0,26796,Unsupervised Learning
1ggBjCxnkaT8,24,hard,0,25768,Data Types
1ggBjCxnkaT8,25,hard,0,28425,Unsupervised Learning
1ggBjCxnkaT8,26,hard,0,30284,Data Types
1ggBjCxnkaT8,27,easy,1,17892,Data Preprocessing
1ggBjCxnkaT8,28,medium,0,27175,Scaling & Normalization
1ggBjCxnkaT8,29,easy,1,13046,Scaling & Normalization
1ggBjCxnkaT8,30,easy,1,11615,Data Preprocessing
VqXqgB6ructd,1,hard,0,30533,Data Mining Tasks
VqXqgB6ructd,2,easy,1,11094,Similarity Measures
VqXqgB6ructd,3,easy,1,17117,Similarity Measures
VqXqgB6ructd,4,easy,1,15659,Similarity Measures
VqXqgB6ructd,5,medium,0,33065,Similarity Measures
VqXqgB6ructd,6,easy,1,20195,Time Series Data
VqXqgB6ructd,7,easy,0,24396,Data Types
VqXqgB6ructd,8,easy,1,15659,Data Types
VqXqgB6ructd,9,easy,1,16613,Similarity Measures
VqXqgB6ructd,10,easy,1,15659,Programming Tools (NumPy/Pandas)
VqXqgB6ructd,11,easy,1,15659,Programming Tools (NumPy/Pandas)
VqXqgB6ructd,12,easy,1,15659,Programming Tools (NumPy/Pandas)
VqXqgB6ructd,13,easy,1,17117,Programming Tools (NumPy/Pandas)
VqXqgB6ructd,14,medium,1,30463,Data Types
VqXqgB6ructd,15,medium,0,34713,Data Types
VqXqgB6ructd,16,easy,1,28512,Data Types
VqXqgB6ructd,17,easy,1,23169,Data Types
VqXqgB6ructd,18,hard,0,25873,Unsupervised Learning
VqXqgB6ructd,19,easy,1,15909,Unsupervised Learning
VqXqgB6ructd,20,hard,0,29881,Data Types
VqXqgB6ructd,21,hard,0,25431,Data Mining Tasks
VqXqgB6ructd,22,easy,1,15659,Data Types
VqXqgB6ructd,23,hard,0,28731,Unsupervised Learning
VqXqgB6ructd,24,hard,0,24810,Data Types
VqXqgB6ructd,25,hard,0,30742,Unsupervised Learning
VqXqgB6ructd,26,hard,0,34560,Data Types
VqXqgB6ructd,27,easy,1,19714,Data Preprocessing
VqXqgB6ructd,28,medium,0,32248,Scaling & Normalization
VqXqgB6ructd,29,easy,1,15659,Scaling & Normalization
VqXqgB6ructd,30,easy,1,13999,Data Preprocessing
W0EkQhrkI3an,1,hard,0,22271,Data Mining Tasks
W0EkQhrkI3an,2,easy,1,7500,Similarity Measures
W0EkQhrkI3an,3,easy,1,12642,Similarity Measures
W0EkQhrkI3an,4,easy,1,10621,Similarity Measures
W0EkQhrkI3an,5,medium,1,19486,Similarity Measures
W0EkQhrkI3an,6,easy,1,15826,Time Series Data
W0EkQhrkI3an,7,easy,1,14620,Data Types
W0EkQhrkI3an,8,easy,1,10621,Data Types
W0EkQhrkI3an,9,easy,1,12826,Similarity Measures
W0EkQhrkI3an,10,easy,1,10621,Programming Tools (NumPy/Pandas)
W0EkQhrkI3an,11,easy,1,10621,Programming Tools (NumPy/Pandas)
W0EkQhrkI3an,12,easy,1,10621,Programming Tools (NumPy/Pandas)
W0EkQhrkI3an,13,easy,1,12642,Programming Tools (NumPy/Pandas)
W0EkQhrkI3an,14,medium,0,23138,Data Types
W0EkQhrkI3an,15,medium,0,23039,Data Types
W0EkQhrkI3an,16,easy,1,21767,Data Types
W0EkQhrkI3an,17,easy,0,20537,Data Types
W0EkQhrkI3an,18,hard,0,20653,Unsupervised Learning
W0EkQhrkI3an,19,easy,1,11993,Unsupervised Learning
W0EkQhrkI3an,20,hard,0,19480,Data Types
W0EkQhrkI3an,21,hard,0,19120,Data Mining Tasks
W0EkQhrkI3an,22,easy,1,10621,Data Types
W0EkQhrkI3an,23,hard,0,20568,Unsupervised Learning
W0EkQhrkI3an,24,hard,0,19188,Data Types
W0EkQhrkI3an,25,hard,0,21815,Unsupervised Learning
W0EkQhrkI3an,26,hard,0,23245,Data Types
W0EkQhrkI3an,27,easy,1,14560,Data Preprocessing
W0EkQhrkI3an,28,medium,0,21465,Scaling & Normalization
W0EkQhrkI3an,29,easy,1,10621,Scaling & Normalization
W0EkQhrkI3an,30,easy,1,9393,Data Preprocessing
bWRj9XHmvXaq,1,hard,0,25154,Data Mining Tasks
bWRj9XHmvXaq,2,easy,1,8385,Similarity Measures
bWRj9XHmvXaq,3,easy,0,17325,Similarity Measures
bWRj9XHmvXaq,4,easy,1,11875,Similarity Measures
bWRj9XHmvXaq,5,medium,1,22168,Similarity Measures
bWRj9XHmvXaq,6,easy,0,21078,Time Series Data
bWRj9XHmvXaq,7,easy,0,20736,Data Types
bWRj9XHmvXaq,8,easy,1,11875,Data Types
bWRj9XHmvXaq,9,easy,1,14256,Similarity Measures
bWRj9XHmvXaq,10,easy,1,11875,Programming Tools (NumPy/Pandas)
bWRj9XHmvXaq,11,easy,1,11875,Programming Tools (NumPy/Pandas)
bWRj9XHmvXaq,12,easy,1,11875,Programming Tools (NumPy/Pandas)
bWRj9XHmvXaq,13,easy,1,14134,Programming Tools (NumPy/Pandas)
bWRj9XHmvXaq,14,medium,1,24882,Data Types
bWRj9XHmvXaq,15,medium,0,26021,Data Types
bWRj9XHmvXaq,16,easy,1,24080,Data Types
bWRj9XHmvXaq,17,easy,1,19964,Data Types
bWRj9XHmvXaq,18,hard,1,25532,Unsupervised Learning
bWRj9XHmvXaq,19,easy,1,13502,Unsupervised Learning
bWRj9XHmvXaq,20,hard,1,24510,Data Types
bWRj9XHmvXaq,21,hard,0,22198,Data Mining Tasks
bWRj9XHmvXaq,22,easy,1,11875,Data Types
bWRj9XHmvXaq,23,hard,0,23879,Unsupervised Learning
bWRj9XHmvXaq,24,hard,0,22277,Data Types
