Question ID,question_text,options,correct_answer
1,Which of the following activities is a data mining task?,A. Dividing the customers of a company according to their gender. | B. Predicting the future stock price of a company using historical records. | C. Computing the total sales of a company. | D. Monitoring the heart rate of a patient for abnormalities,Predicting the future stock price of a company using historical records. | Monitoring the heart rate of a patient for abnormalities
2,What is the range of values possible for the cosine measure?,"A. [0,1] | B. [-1,1] | C. [0, infinity [ | D. [-infinity , 0[","[-1,1]"
3,Is the cosine measure sensitive to scaling ?,A. Yes | B. No,No
4,Is the Euclidean distance sensitive to scaling ?,A. Yes | B. No,Yes
5,"If two objects have a cosine measure of 1, are they identical?",A. Yes | B. No,No
6,"To reduce the size of a daily time series, it is often preferable to:",A. Sample a weekly value | B. Use binning to reduce the number of data points. | C. Aggregate the values over the course of the week.,Aggregate the values over the course of the week.
7,Discrete variables cannot be ratio,A. True | B. False,False
8,What is the maximum value of Jaccard coefficient between two strings of 10 binary attributes?,A. 1 | B. 0 | C. 0.5 | D. 2,1
9,What does it mean when two variables have a linear correlation coefficient equal to 0?,A. There is no linear correlation between the two variables. | B. There is no correlation between the two variables. | C. The two variables are nonlinearly correlated. | D. The two variables are linearly correlated.,There is no linear correlation between the two variables.
10,What method is used to fill missing values in a DataFrame with a specific value in Pandas?,A. df.impute(value) | B. df.nullify(value) | C. df.replace_nulls(value) | D. df.fillna(value),df.fillna(value)
11,"Which Pandas method is used to calculate the mean, median, and other summary statistics ?",A. df.summarize() | B. df.statistics() | C. df.describe() | D. df.summarystats(),df.describe()
12,Which of the following functions can be used to create a NumPy array from a Python list?,A. numpy.array() | B. numpy.create_array() | C. numpy.from_list() | D. numpy.array_from_list(),numpy.array()
13,What is the shape of a NumPy array?,A. The data type of the array | B. The size of the first dimension of the array | C. The number of elements in each dimension | D. The total number of elements in the array,The number of elements in each dimension
14,What is the type of this attribute: Social security number,A. Binary | B. Discrete | C. Continuous | D. Nominal | E. Ordinal | F. Interval | G. Ratio,Discrete | Nominal
15,What is the type of this attribute: Number of courses registered by a student in a semester,A. Binary | B. Discrete | C. Continuous | D. Nominal | E. Ordinal | F. Interval | G. Ratio,Discrete | Ratio
16,What is the type of this attribute: Speed of a car (in miles per hour),A. Binary | B. Discrete | C. Continuous | D. Nominal | E. Ordinal | F. Interval | G. Ratio,Continuous | Ratio
17,"What is the type of this attribute: Movie ratings provided by users: 1, 2, 3, or 4-stars",A. Binary | B. Discrete | C. Continuous | D. Nominal | E. Ordinal | F. Interval | G. Ratio,Discrete | Ordinal
18,In which task does the primary goal involve finding patterns or relationships between variables without the need for predefined labels or categories?,A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Clustering | Association Rules
19,An algorithm that finds relationships between items in a transactional database is used for:,A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Association Rules
20,"Which task involves predicting a binary outcome, typically represented as 0 or 1?",A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Classification | Anomaly Detection
21,What data mining task is often employed to determine the relationship between a dependent variable and one or more independent variables in order to make predictions?,A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Classification | Regression
22,In which task do you aim to reduce the number of attributes in a dataset while preserving the most relevant information?,A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Dimensionality Reduction
23,Which of the following visualization techniques can be used to explore the relationship between two numerical variables?,A. Scatter plot | B. Bar chart | C. Box plot | D. Heatmap | E. Histogram,Scatter plot | Heatmap
24,Which of the following visualization techniques can be used to explore the relationship between a continuous and categorical variable?,A. Scatter plot | B. Bar chart | C. Box plot | D. Heatmap | E. Histogram,Box plot | Histogram
25,Which of the following visualization techniques can be used to explore the relationship between two categorical variables?,A. Scatter plot | B. Bar chart | C. Box plot | D. Heatmap | E. Histogram,Bar chart | Heatmap
26,Which statistical measures  are useful for quantifying the dispersion or variation of an attribute?,A. Variance | B. Median Absolute Deviation (MAD) | C. Range | D. Mode | E. Covariance | F. Interquartile mean (IQM),Variance | Median Absolute Deviation (MAD) | Range
27,What is the primary purpose of data discretization in data pre-processing?,A. To remove missing values from the dataset | B. To convert categorical data into numerical data | C. To reduce the number of distinct values in a continuous feature | D. To perform clustering on the data | E. To normalize data using z-score scaling,To reduce the number of distinct values in a continuous feature
28,What is the primary goal of data pre-processing techniques like feature scaling or normalization?,A. To increase the dimensionality of the data | B. To add more features to the dataset | C. To reduce the impact of outliers | D. To make the data more complex | E. To improve the convergence of machine learning algorithms,To reduce the impact of outliers | To improve the convergence of machine learning algorithms
29,Which data pre-processing technique is used for scaling features to have a mean of 0 and a standard deviation of 1?,A. Z-Score Scaling | B. Min-Max Scaling | C. Discretization | D. PCA | E. Aggregation,Z-Score Scaling
30,What is the primary purpose of data sampling in data pre-processing?,A. To reduce the number of features in the dataset | B. To create a representative subset of the dataset | C. To merge two or more datasets | D. To convert categorical data into numerical data | E. To perform dimensionality reduction,To create a representative subset of the dataset
